brand_hybrid,farm,state,Yield,air.sig995_mean,omega.sig995_mean,pres.sfc_mean,rhum.sig995_mean,uwnd.sig995_mean,vwnd.sig995_mean,six_clusters,six_clus_recoded
Power Plus-5C17 AMXT,"Mt.Morris, Illinois",,255.9291,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,5,1
Power Plus-5C17 AMXT,"DeKalb, Illinois",,260.1275,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,5,1
Power Plus-5C17 AMXT,"Dwight, Illinois",,265.5469,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,2,5
Power Plus-5C17 AMXT,"Urbana, Illinois",,268.1578,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,2,5
Power Plus-5C17 AMXT,"Erie, Illinois",,275.4398,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Power Plus-5C17 AMXT,"Goodfield, Illinois",,277.0883,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Power Plus-6P75 AMXT,"St.Peter, Illinois",,184.374,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Power Plus-6P75 AMXT,"Urbana, Illinois",,239.9025,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,2,5
Power Plus-6P75 AMXT,"Mt.Morris, Illinois",,241.2328,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Power Plus-6P75 AMXT,"Monmouth, Illinois",,243.2138,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Power Plus-6P75 AMXT,"DeKalb, Illinois",,243.8468,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Power Plus-6P75 AMXT,"Perry, Illinois",,244.7605,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Power Plus-6P75 AMXT,"Erie, Illinois",,248.2037,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Power Plus-6P75 AMXT,"Belleville, Illinois",,251.3656,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242,2,5
Power Plus-6P75 AMXT,"Dwight, Illinois",,276.232,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,2,5
Power Plus-6P75 AMXT,"Goodfield, Illinois",,277.7846,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Stone-6378RIB,"St.Peter, Illinois",,197.7984,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Stone-6378RIB,"Mt.Morris, Illinois",,219.8343,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Stone-6378RIB,"Urbana, Illinois",,234.0925,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,2,5
Stone-6378RIB,"DeKalb, Illinois",,237.5328,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Stone-6378RIB,"Belleville, Illinois",,244.2719,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242,4,4
Stone-6378RIB,"Perry, Illinois",,249.2925,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,4,4
Stone-6378RIB,"Monmouth, Illinois",,250.0824,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,4,4
Stone-6378RIB,"Dwight, Illinois",,251.9553,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,4,4
Stone-6378RIB,"Erie, Illinois",,266.5665,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,4,4
Stone-6378RIB,"Goodfield, Illinois",,268.3038,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,4,4
